Eastern,"Block 39, Heng Fa Chuen",,
Eastern,"Block 40, Heng Fa Chuen",,
Eastern,"Block 41, Heng Fa Chuen",,
Eastern,"Block 42, Heng Fa Chuen",,
Eastern,"Block 43, Heng Fa Chuen",,
Eastern,"Block 45, Heng Fa Chuen",,
Eastern,"Block 47, Heng Fa Chuen",,
Eastern,"Block 48, Heng Fa Chuen",,
Eastern,"Block 49, Heng Fa Chuen",,
Eastern,"Block 4, Heng Fa Chuen",,
Eastern,"Block 50, Heng Fa Chuen",,
Eastern,"Block 5, Heng Fa Chuen",,
Eastern,"Block 6, Heng Fa Chuen",,
Eastern,"Block 7, Heng Fa Chuen",,
Eastern,"Block 9, Heng Fa Chuen",,
Eastern,Tung On Building,,
Eastern,"Tung Ning House, Tung Yuk Court",,
Eastern,"Tung Hiu House, Tung Yuk Court",,
Eastern,"Tung Lai House, Tung Yuk Court",,
Eastern,"Foon Yan House, Tung Yan Court",,
Eastern,"Fai Tao House, Tung Tao Court",,
Eastern,"King Hei House, Tung Hei Court",,
Eastern,"Block B, Tung Fat Building",,
Eastern,"Block D, Tung Fat Building",,
Eastern,"Kam Chun House, Tung Chun Court",,
Eastern,"Block 2, Chai Wan Police Married Quarters",,
Eastern,"Wan Ying House, Chai Wan Estate",,
Eastern,"Ling Pak Mansion, Parkvale",,
Eastern,Yip Ning Building,,
Eastern,"Block 2, Lok Hin Terrace",,
Eastern,"Man Ning House, Model Housing Estate",,
Eastern,Man Hong House,,
Eastern,"Block A, Winner Centre",,
Eastern,90 Shau Kei Wan Road,,
Eastern,Tai Hing Building,,
Eastern,Tung Ting Mansion,,
Eastern,Montane Mansion,,
Eastern,Oceanic Mansion,,
Eastern,Fire Services Department Chai Wan Married Staff Quarters,,
Eastern,Moon Wah Building,,
Eastern,"Yue Chun House, Yue Wan Estate",,
Eastern,"Yue Shun House, Yue Wan Estate",,
Eastern,Chu Kee Building,,
Eastern,Empire Apartments,,
Eastern,"Lee Tsui House, Wan Tsui Estate",,
Eastern,"Hei Tsui House, Wan Tsui Estate",,
